file_a,file_b,cochange_count,jaccard
scripts/audit/audit-drift.ts,src/pages/sitemap.xml.ts,2,0.500000
src/pages/api/checkout.ts,src/pages/api/staff/orders/[id]/confirm.ts,3,0.142857
package.json,src/middleware.ts,11,0.379310
package.json,src/pages/api/staff/orders/create.ts,7,0.218750
package.json,src/pages/buy-now/[slug].astro,2,0.066667
src/middleware.ts,src/pages/api/staff/orders/create.ts,5,0.227273
README.md,src/pages/api/checkout.ts,4,0.173913
README.md,src/pages/api/staff/uploads.ts,2,0.142857
README.md,src/queues/consumers.ts,2,0.100000
db/migrations/0033_direct_checkout_activity.sql,src/lib/cart-store.ts,2,0.666667
db/migrations/0033_direct_checkout_activity.sql,src/lib/integrations/uddoktapay/client.ts,2,0.500000
src/do/variant-inventory-do.ts,src/lib/do-client.ts,4,0.400000
src/do/variant-inventory-do.ts,src/lib/integrations/uddoktapay/client.ts,2,0.222222
src/do/variant-inventory-do.ts,src/lib/queue-publisher.ts,2,0.285714
src/do/variant-inventory-do.ts,src/pages/api/checkout.ts,3,0.142857
src/do/variant-inventory-do.ts,src/pages/api/staff/uploads.ts,3,0.300000
src/do/variant-inventory-do.ts,src/queues/consumers.ts,5,0.357143
src/lib/cart-store.ts,src/lib/integrations/uddoktapay/client.ts,2,0.400000
src/lib/cart-store.ts,src/pages/api/buy-now/submit.ts,2,0.285714
src/lib/cart-store.ts,src/pages/api/cart/index.ts,2,0.666667
src/lib/cart-store.ts,src/pages/api/checkout.ts,2,0.111111
src/lib/contracts/variant-inventory-do.ts,src/lib/do-client.ts,2,0.285714
src/lib/contracts/variant-inventory-do.ts,src/pages/api/buy-now/submit.ts,2,0.333333
src/lib/contracts/variant-inventory-do.ts,src/pages/api/checkout.ts,2,0.117647
src/lib/contracts/variant-inventory-do.ts,src/queues/consumers.ts,2,0.166667
src/lib/do-client.ts,src/lib/queue-publisher.ts,2,0.285714
src/lib/do-client.ts,src/pages/api/buy-now/submit.ts,3,0.300000
src/lib/do-client.ts,src/pages/api/checkout.ts,6,0.333333
src/lib/do-client.ts,src/pages/api/staff/uploads.ts,2,0.181818
src/lib/do-client.ts,src/queues/consumers.ts,7,0.583333
src/lib/integrations/uddoktapay/client.ts,src/pages/api/buy-now/submit.ts,2,0.250000
src/lib/integrations/uddoktapay/client.ts,src/pages/api/staff/uploads.ts,2,0.250000
src/lib/integrations/uddoktapay/client.ts,src/queues/consumers.ts,2,0.142857
src/lib/queue-publisher.ts,src/pages/api/checkout.ts,2,0.117647
src/lib/queue-publisher.ts,src/queues/consumers.ts,2,0.166667
src/pages/api/buy-now/submit.ts,src/pages/api/cart/index.ts,2,0.333333
src/pages/api/buy-now/submit.ts,src/pages/api/checkout.ts,5,0.277778
src/pages/api/buy-now/submit.ts,src/queues/consumers.ts,3,0.200000
src/pages/api/cart/index.ts,src/pages/api/checkout.ts,2,0.117647
src/pages/api/checkout.ts,src/pages/api/staff/uploads.ts,2,0.095238
src/pages/api/checkout.ts,src/queues/consumers.ts,7,0.318182
src/pages/api/staff/uploads.ts,src/queues/consumers.ts,3,0.200000
src/lib/integrations/payments/index.ts,src/lib/integrations/sslcommerz/client.ts,2,0.666667
src/lib/integrations/uddoktapay/client.ts,src/lib/integrations/uddoktapay/types.ts,2,0.500000
src/do/budget-counter-do.ts,src/pages/api/buy-now/submit.ts,2,0.222222
src/do/budget-counter-do.ts,src/pages/api/checkout.ts,2,0.100000
src/pages/api/buy-now/submit.ts,src/pages/api/payments/create.ts,2,0.200000
src/pages/api/buy-now/submit.ts,src/pages/staff/login.astro,2,0.181818
